lambda	absorbtion
1421	2.73E+01
1422	2.76E+01
1423	2.78E+01
1424	2.81E+01
1425	2.84E+01
1426	2.86E+01
1427	2.88E+01
1428	2.89E+01
1429	2.91E+01
1430	2.93E+01
1431	2.94E+01
1432	2.96E+01
1433	2.97E+01
1434	2.98E+01
1435	2.99E+01
1436	3.00E+01
1437	3.01E+01
1438	3.02E+01
1439	3.03E+01
1440	3.04E+01
1441	3.04E+01
1442	3.05E+01
1443	3.05E+01
1444	3.05E+01
1445	3.05E+01
1446	3.06E+01
1447	3.06E+01
1448	3.06E+01
1449	3.06E+01
1450	3.05E+01
1451	3.05E+01
1452	3.05E+01
1453	3.04E+01
1454	3.04E+01
1455	3.04E+01
1456	3.03E+01
1457	3.02E+01
1458	3.01E+01
1459	3.01E+01
1460	3.00E+01
1461	2.98E+01
1462	2.97E+01
1463	2.96E+01
1464	2.94E+01
1465	2.92E+01
1466	2.90E+01
1467	2.87E+01
1468	2.85E+01
1469	2.83E+01
1470	2.80E+01
1471	2.78E+01
1472	2.75E+01
1473	2.72E+01
1474	2.70E+01
1475	2.66E+01
1476	2.64E+01
1477	2.61E+01
1478	2.58E+01
1479	2.56E+01
1480	2.52E+01
1481	2.50E+01
1482	2.47E+01
1483	2.44E+01
1484	2.41E+01
1485	2.39E+01
1486	2.36E+01
1487	2.33E+01
1488	2.31E+01
1489	2.27E+01
1490	2.25E+01
1491	2.22E+01
1492	2.19E+01
1493	2.16E+01
1494	2.14E+01
1495	2.11E+01
1496	2.08E+01
1497	2.05E+01
1498	2.03E+01
1499	2.00E+01
1500	1.97E+01
1501	1.95E+01
1502	1.92E+01
1503	1.90E+01
1504	1.87E+01
1505	1.85E+01
1506	1.83E+01
1507	1.80E+01
1508	1.78E+01
1509	1.76E+01
1510	1.73E+01
1511	1.71E+01
1512	1.69E+01
1513	1.67E+01
1514	1.65E+01
1515	1.62E+01
1516	1.61E+01
1517	1.58E+01
1518	1.56E+01
1519	1.54E+01
1520	1.53E+01
1521	1.50E+01
1522	1.49E+01
1523	1.47E+01
1524	1.45E+01
1525	1.43E+01
1526	1.41E+01
1527	1.39E+01
1528	1.38E+01
1529	1.36E+01
1530	1.35E+01
1531	1.33E+01
1532	1.32E+01
1533	1.30E+01
1534	1.28E+01
1535	1.27E+01
1536	1.25E+01
1537	1.24E+01
1538	1.22E+01
1539	1.21E+01
1540	1.19E+01
1541	1.18E+01
1542	1.17E+01
1543	1.15E+01
1544	1.14E+01
1545	1.13E+01
1546	1.11E+01
1547	1.10E+01
1548	1.09E+01
1549	1.08E+01
1550	1.06E+01
1551	1.05E+01
1552	1.04E+01
1553	1.03E+01
1554	1.02E+01
1555	1.01E+01
1556	1.00E+01
1557	9.91E+00
1558	9.84E+00
1559	9.75E+00
1560	9.66E+00
1561	9.56E+00
1562	9.48E+00
1563	9.38E+00
1564	9.30E+00
1565	9.20E+00
1566	9.13E+00
1567	9.05E+00
1568	8.98E+00
1569	8.90E+00
1570	8.82E+00
1571	8.74E+00
1572	8.66E+00
1573	8.59E+00
1574	8.51E+00
1575	8.45E+00
1576	8.36E+00
1577	8.29E+00
1578	8.23E+00
1579	8.16E+00
1580	8.10E+00
1581	8.04E+00
1582	7.96E+00
1583	7.89E+00
1584	7.83E+00
1585	7.77E+00
1586	7.71E+00
1587	7.65E+00
1588	7.61E+00
1589	7.55E+00
1590	7.50E+00
1591	7.43E+00
1592	7.37E+00
1593	7.32E+00
1594	7.25E+00
1595	7.20E+00
1596	7.16E+00
1597	7.12E+00
1598	7.08E+00
1599	7.04E+00
1600	6.99E+00
1601	6.94E+00
1602	6.91E+00
1603	6.87E+00
1604	6.83E+00
1605	6.78E+00
1606	6.74E+00
1607	6.71E+00
1608	6.70E+00
1609	6.65E+00
1610	6.63E+00
1611	6.60E+00
1612	6.57E+00
1613	6.53E+00
1614	6.50E+00
1615	6.47E+00
1616	6.45E+00
1617	6.42E+00
1618	6.40E+00
1619	6.36E+00
1620	6.34E+00
1621	6.31E+00
1622	6.28E+00
1623	6.25E+00
1624	6.21E+00
1625	6.19E+00
1626	6.16E+00
1627	6.13E+00
1628	6.12E+00
1629	6.09E+00
1630	6.08E+00
1631	6.05E+00
1632	6.05E+00
1633	6.02E+00
1634	6.00E+00
1635	5.98E+00
1636	5.97E+00
1637	5.95E+00
1638	5.94E+00
1639	5.92E+00
1640	5.91E+00
1641	5.89E+00
1642	5.88E+00
