wavelength	P1	P2	P3	P4	P5	P6	P7	P8	P9
490	0.01676519	0.023174207	0.014737605	0.019353174	0.012997639	0.011679328	0.016871188	0.016515705	0.013723433
491	0.016782814	0.023203839	0.014764098	0.019398731	0.013019928	0.011699719	0.016906699	0.016540537	0.013740459
492	0.016809533	0.02325506	0.01479739	0.019451902	0.013043989	0.011724778	0.016952887	0.016571416	0.013762231
493	0.016851412	0.023319458	0.014838683	0.019516513	0.01308129	0.011760897	0.017011226	0.016611704	0.013789423
494	0.016903541	0.023390492	0.014885785	0.019593195	0.01312798	0.011800945	0.01707638	0.016657467	0.013824564
495	0.016962545	0.023470236	0.014938568	0.019679924	0.013179284	0.011842011	0.017148288	0.016710027	0.013866867
496	0.017024701	0.023561567	0.01499831	0.019775762	0.013238581	0.011889245	0.017234148	0.016773566	0.013913681
497	0.017094429	0.023666642	0.015062569	0.019882977	0.013302788	0.011943875	0.017326247	0.016843822	0.013968139
498	0.017175214	0.023782412	0.015135219	0.020005599	0.013374231	0.012007266	0.017427898	0.016921983	0.014031886
499	0.017262454	0.023907771	0.015220686	0.020144683	0.013458586	0.012081259	0.017547723	0.017012765	0.014102346
500	0.01735883	0.024045992	0.015314264	0.020298476	0.013552358	0.01216826	0.017681003	0.017115194	0.014177501
501	0.01746496	0.024192545	0.015419274	0.020464812	0.013652388	0.012264535	0.017827905	0.017226887	0.014260704
502	0.01758799	0.02435308	0.015541775	0.020649168	0.013765252	0.012369726	0.017991661	0.01735211	0.014359039
503	0.017729877	0.024538196	0.015675271	0.020855156	0.013892723	0.012489157	0.018170813	0.017491869	0.014469725
504	0.017888117	0.024750134	0.01582361	0.021083009	0.014031967	0.012624212	0.018368751	0.017651977	0.014594744
505	0.018065676	0.024989254	0.015992027	0.02133354	0.014185879	0.012774624	0.018589139	0.017834608	0.014736099
506	0.01826425	0.025254784	0.016178653	0.021609851	0.014358019	0.012937003	0.018831461	0.018033328	0.014895124
507	0.018487772	0.025554691	0.016387485	0.021910695	0.01454788	0.013117957	0.019095417	0.018254208	0.015070351
508	0.018736976	0.02589416	0.016618427	0.022234916	0.014755065	0.013318643	0.019381578	0.018500556	0.015261826
509	0.019005904	0.026269074	0.016867868	0.022583567	0.014979623	0.01353458	0.01968944	0.018768198	0.015473228
510	0.019298663	0.026673777	0.017139028	0.022960991	0.01522385	0.013769109	0.020027156	0.019057254	0.015708251
511	0.019616315	0.027111616	0.017435026	0.023366773	0.015488702	0.014026594	0.02039604	0.019369885	0.015965827
512	0.019959659	0.027592208	0.017755248	0.023799687	0.015775518	0.014308955	0.020791767	0.01970869	0.016244996
513	0.020332893	0.028110344	0.018102972	0.024264928	0.016087457	0.014611233	0.021218985	0.020076613	0.016553241
514	0.02074084	0.028675279	0.018480502	0.024771123	0.016430441	0.014939091	0.021683121	0.020477979	0.016891843
